experiment_id,display_name,family,preset_name,bet_size,seed,contest,ticket_index,numbers,hits
random_15,Random 15,random,,15,42,1,1,"1,2,4,5,6,7,9,10,12,13,15,16,21,23,24",9
random_15,Random 15,random,,15,42,2,1,"1,2,3,4,6,8,10,13,14,15,17,18,19,23,24",8
random_15,Random 15,random,,15,43,1,1,"1,2,3,4,6,8,10,13,14,15,17,18,19,23,24",9
random_15,Random 15,random,,15,43,2,1,"1,2,3,5,9,10,11,13,14,16,18,21,23,24,25",8
statistical_balanced_15,Statistical balanced 15,statistical,balanced,15,42,2,1,"2,3,4,6,8,9,11,12,14,16,17,18,21,23,24",8
statistical_balanced_15,Statistical balanced 15,statistical,balanced,15,43,2,1,"2,3,4,6,7,8,11,12,13,16,19,20,22,23,25",10
random_16,Random 16,random,,16,42,1,1,"1,2,4,5,6,7,9,10,12,13,15,16,18,21,23,24",10
random_16,Random 16,random,,16,42,2,1,"1,2,3,4,6,8,9,10,13,14,15,17,18,19,23,24",9
random_16,Random 16,random,,16,43,1,1,"1,2,3,4,6,8,9,10,13,14,15,17,18,19,23,24",10
random_16,Random 16,random,,16,43,2,1,"1,2,3,5,9,10,11,13,14,15,16,18,21,23,24,25",9
statistical_balanced_16,Statistical balanced 16,statistical,balanced,16,42,2,1,"2,3,4,6,8,9,11,12,14,16,17,18,20,21,23,24",9
statistical_balanced_16,Statistical balanced 16,statistical,balanced,16,43,2,1,"2,3,4,6,7,8,11,12,13,16,18,19,20,22,23,25",10
