experiment_id,display_name,family,preset_name,bet_size,seed,contest,ticket_index,numbers,hits
quantum_inspired_15,Quantum Inspired 15,quantum_inspired,,15,42,100,1,"1,2,4,5,6,8,10,12,13,14,16,17,18,22,24",10
quantum_inspired_15,Quantum Inspired 15,quantum_inspired,,15,42,100,2,"1,2,4,8,9,10,13,14,18,19,20,21,22,24,25",9
quantum_inspired_15,Quantum Inspired 15,quantum_inspired,,15,42,100,3,"1,2,3,4,5,6,7,8,10,11,13,14,20,21,22",9
quantum_inspired_15,Quantum Inspired 15,quantum_inspired,,15,42,100,4,"2,4,5,6,8,10,11,13,14,15,17,22,23,24,25",10
quantum_inspired_15,Quantum Inspired 15,quantum_inspired,,15,42,100,5,"1,2,3,10,13,15,16,17,18,20,21,22,23,24,25",9
quantum_inspired_15,Quantum Inspired 15,quantum_inspired,,15,42,100,6,"1,2,4,5,10,13,15,16,17,18,19,20,21,24,25",7
quantum_inspired_15,Quantum Inspired 15,quantum_inspired,,15,42,100,7,"1,4,5,6,8,10,11,12,14,15,16,18,19,20,25",9
quantum_inspired_15,Quantum Inspired 15,quantum_inspired,,15,42,100,8,"1,2,4,7,9,10,12,13,14,16,17,19,21,24,25",10
quantum_inspired_15,Quantum Inspired 15,quantum_inspired,,15,42,100,9,"1,2,3,4,5,8,12,13,15,18,19,20,23,24,25",8
quantum_inspired_15,Quantum Inspired 15,quantum_inspired,,15,42,100,10,"1,3,5,7,8,10,11,12,13,15,16,17,18,24,25",10
quantum_15,Quantum 15,quantum,,15,42,100,1,"1,2,3,4,5,7,10,11,12,14,15,16,17,23,24",10
quantum_15,Quantum 15,quantum,,15,42,100,2,"1,2,3,7,9,10,13,14,17,18,19,20,22,24,25",9
quantum_15,Quantum 15,quantum,,15,42,100,3,"1,2,3,4,5,6,7,8,10,11,13,14,20,21,22",9
quantum_15,Quantum 15,quantum,,15,42,100,4,"2,3,4,5,7,9,10,13,14,15,17,21,22,24,25",9
quantum_15,Quantum 15,quantum,,15,42,100,5,"1,2,3,10,13,15,16,17,18,20,21,22,23,24,25",9
quantum_15,Quantum 15,quantum,,15,42,100,6,"1,2,3,4,10,12,14,15,16,17,19,20,21,24,25",9
quantum_15,Quantum 15,quantum,,15,42,100,7,"1,3,4,7,8,10,11,12,13,14,16,17,19,21,25",12
quantum_15,Quantum 15,quantum,,15,42,100,8,"1,2,4,7,10,11,12,13,14,16,17,18,21,24,25",10
quantum_15,Quantum 15,quantum,,15,42,100,9,"1,2,3,4,5,8,11,12,14,17,19,20,22,24,25",10
quantum_15,Quantum 15,quantum,,15,42,100,10,"1,3,4,6,7,10,11,13,14,15,16,17,19,24,25",10
statistical_frequency_heavy_15,Statistical frequency_heavy 15,statistical,frequency_heavy,15,42,100,1,"2,4,5,7,8,9,12,13,14,16,18,19,21,22,24",8
statistical_frequency_heavy_15,Statistical frequency_heavy 15,statistical,frequency_heavy,15,42,100,2,"1,2,4,5,9,10,12,13,15,17,19,20,23,24,25",9
statistical_frequency_heavy_15,Statistical frequency_heavy 15,statistical,frequency_heavy,15,42,100,3,"1,2,4,6,7,10,12,13,14,18,19,20,22,23,25",9
statistical_frequency_heavy_15,Statistical frequency_heavy 15,statistical,frequency_heavy,15,42,100,4,"2,3,4,6,9,10,12,13,15,17,20,21,23,24,25",9
statistical_frequency_heavy_15,Statistical frequency_heavy 15,statistical,frequency_heavy,15,42,100,5,"1,2,4,6,8,9,11,13,15,16,18,20,21,22,25",9
statistical_frequency_heavy_15,Statistical frequency_heavy 15,statistical,frequency_heavy,15,42,100,6,"1,2,4,5,6,10,11,13,15,17,18,20,21,22,25",8
statistical_frequency_heavy_15,Statistical frequency_heavy 15,statistical,frequency_heavy,15,42,100,7,"1,2,5,6,9,12,13,14,16,17,18,20,22,24,25",9
statistical_frequency_heavy_15,Statistical frequency_heavy 15,statistical,frequency_heavy,15,42,100,8,"2,4,5,6,9,11,12,13,15,16,17,21,23,24,25",9
statistical_frequency_heavy_15,Statistical frequency_heavy 15,statistical,frequency_heavy,15,42,100,9,"1,2,4,6,9,10,11,14,15,16,19,20,22,24,25",9
statistical_frequency_heavy_15,Statistical frequency_heavy 15,statistical,frequency_heavy,15,42,100,10,"1,3,4,8,9,12,13,15,16,18,19,21,23,24,25",10
