experiment_id,display_name,family,preset_name,bet_size,seed,contest,ticket_index,numbers,hits
random_15,Random 15,random,,15,42,100,1,"1,2,5,6,10,12,13,14,16,17,19,21,22,23,24",9
random_15,Random 15,random,,15,42,100,2,"2,6,7,8,9,10,12,15,16,18,19,20,22,23,24",7
random_15,Random 15,random,,15,42,100,3,"1,3,4,5,6,7,9,11,13,14,15,16,20,21,24",8
random_15,Random 15,random,,15,42,100,4,"1,2,4,6,8,9,10,12,13,15,16,18,19,20,22",9
random_15,Random 15,random,,15,42,100,5,"1,4,5,6,7,8,9,10,11,12,19,20,23,24,25",9
random_15,Random 15,random,,15,42,100,6,"2,3,5,7,8,9,10,11,12,13,14,16,20,22,24",10
random_15,Random 15,random,,15,42,100,7,"1,8,10,11,14,15,16,18,19,20,21,22,23,24,25",9
random_15,Random 15,random,,15,42,100,8,"2,3,4,5,6,7,10,13,15,18,19,20,21,23,24",5
random_15,Random 15,random,,15,42,100,9,"1,4,5,7,8,9,10,11,13,14,15,16,20,22,25",11
random_15,Random 15,random,,15,42,100,10,"1,3,4,7,8,9,10,12,13,16,17,19,21,22,23",12
intentionality_vector_15,Intentionality Vector 15,intentionality_vector,,15,42,100,1,"4,7,10,11,13,15,16,17,19,20,21,22,23,24,25",9
intentionality_vector_15,Intentionality Vector 15,intentionality_vector,,15,42,100,2,"3,9,10,13,14,15,16,17,18,20,21,22,23,24,25",10
intentionality_vector_15,Intentionality Vector 15,intentionality_vector,,15,42,100,3,"4,8,9,11,12,13,16,17,18,20,21,22,23,24,25",11
intentionality_vector_15,Intentionality Vector 15,intentionality_vector,,15,42,100,4,"2,7,8,13,14,15,16,17,18,20,21,22,23,24,25",8
intentionality_vector_15,Intentionality Vector 15,intentionality_vector,,15,42,100,5,"4,6,7,13,14,15,17,18,19,20,21,22,23,24,25",7
intentionality_vector_15,Intentionality Vector 15,intentionality_vector,,15,42,100,6,"1,6,10,11,13,14,16,18,19,20,21,22,23,24,25",9
intentionality_vector_15,Intentionality Vector 15,intentionality_vector,,15,42,100,7,"3,6,10,11,13,14,16,17,19,20,21,22,23,24,25",10
intentionality_vector_15,Intentionality Vector 15,intentionality_vector,,15,42,100,8,"4,6,10,11,13,14,16,17,18,20,21,22,23,24,25",10
intentionality_vector_15,Intentionality Vector 15,intentionality_vector,,15,42,100,9,"2,7,10,11,13,14,17,18,19,20,21,22,23,24,25",8
intentionality_vector_15,Intentionality Vector 15,intentionality_vector,,15,42,100,10,"3,6,10,12,13,14,16,17,19,20,21,22,23,24,25",10
