contest,experiment,family,preset,bet_size,total,media,max,min
100,Random 15,random,,15,10,8.900000,12,5
100,Intentionality Vector 15,intentionality_vector,,15,10,9.200000,11,7
100,Quantum Inspired 15,quantum_inspired,,15,10,9.100000,10,7
100,Quantum 15,quantum,,15,10,9.700000,12,9
100,Statistical frequency_heavy 15,statistical,frequency_heavy,15,10,8.900000,10,8
